,lon,lat,ele,site_name
16,-71.96676975,43.96804407,380.008,20
17,-71.96677783,43.96803804,380.609,20
18,-71.96678199,43.96803454,380.946,20
19,-71.96678453,43.96803175,381.127,20
20,-71.96678608,43.96802986,381.225,20
21,-71.96678709,43.96802871,381.276,20
22,-71.96678774,43.96802801,381.311,20
23,-71.96678814,43.96802763,381.333,20
24,-71.96678823,43.9680274,381.361,20
25,-71.96678827,43.96802735,381.361,20
26,-71.96678819,43.96802741,381.382,20
27,-71.96678806,43.96802751,381.389,20
28,-71.9667879,43.9680277,381.39,20
29,-71.96678767,43.96802797,381.39,20
30,-71.96678736,43.96802832,381.387,20
31,-71.96678782,43.96802988,381.437,20
32,-71.96678578,43.9680315,381.564,20
33,-71.96678472,43.96803229,381.585,20
34,-71.96678406,43.96803274,381.578,20
35,-71.96678368,43.96803299,381.567,20
36,-71.96678342,43.96803313,381.557,20
37,-71.96678324,43.96803322,381.541,20
38,-71.96678317,43.96803329,381.525,20
39,-71.96678313,43.96803332,381.508,20
40,-71.96678312,43.96803336,381.495,20
41,-71.96678305,43.96803337,381.492,20
42,-71.96678305,43.96803335,381.482,20
43,-71.96678304,43.96803336,381.471,20
44,-71.96678308,43.96803342,381.459,20
45,-71.96678319,43.96803347,381.443,20
46,-71.96678034,43.96803432,381.563,20
47,-71.96677539,43.96803678,381.772,20
48,-71.96677338,43.9680376,381.965,20
49,-71.96677242,43.96803797,382.117,20
50,-71.96677198,43.96803809,382.242,20
51,-71.96677182,43.96803815,382.351,20
52,-71.9667718,43.96803819,382.446,20
53,-71.9667718,43.96803824,382.524,20
54,-71.96677185,43.9680383,382.595,20
55,-71.96677188,43.96803837,382.667,20
56,-71.96677193,43.96803842,382.724,20
57,-71.96677197,43.96803847,382.774,20
58,-71.96677201,43.9680385,382.822,20
59,-71.96677201,43.96803853,382.86,20
60,-71.96677204,43.96803853,382.897,20
61,-71.96677205,43.9680385,382.926,20
62,-71.96677207,43.9680385,382.946,20
63,-71.96677208,43.96803848,382.958,20
64,-71.96677208,43.96803846,382.97,20
65,-71.96677209,43.96803843,382.981,20
66,-71.9667721,43.96803842,382.991,20
67,-71.9667721,43.96803842,383,20
68,-71.96677211,43.96803842,383.01,20
69,-71.96677213,43.96803841,383.019,20
70,-71.96677214,43.96803841,383.028,20
71,-71.96677217,43.9680384,383.037,20
72,-71.96677219,43.9680384,383.046,20
73,-71.96677222,43.9680384,383.054,20
74,-71.96677223,43.96803838,383.062,20
75,-71.96677223,43.96803834,383.068,20
76,-71.96677225,43.96803832,383.075,20
77,-71.96677226,43.9680383,383.082,20
78,-71.96677228,43.96803829,383.089,20
79,-71.96677232,43.96803829,383.095,20
80,-71.96677235,43.96803828,383.102,20
81,-71.96677239,43.96803828,383.108,20
82,-71.96677243,43.96803828,383.113,20
83,-71.96677246,43.96803828,383.119,20
84,-71.9667725,43.96803827,383.124,20
85,-71.96677254,43.96803827,383.129,20
86,-71.96677257,43.96803826,383.134,20
87,-71.96677261,43.96803826,383.139,20
88,-71.96677265,43.96803825,383.144,20
89,-71.96677272,43.96803821,383.147,20
90,-71.96677281,43.96803816,383.15,20
91,-71.96677291,43.96803811,383.152,20
92,-71.96677301,43.96803805,383.153,20
93,-71.96677312,43.96803799,383.153,20
94,-71.96677323,43.96803792,383.152,20
95,-71.96677334,43.96803786,383.15,20
96,-71.96677345,43.9680378,383.148,20
97,-71.96677356,43.96803774,383.145,20
98,-71.96677366,43.96803769,383.142,20
99,-71.96677376,43.96803763,383.138,20
100,-71.96677386,43.96803758,383.135,20
101,-71.96677395,43.96803753,383.131,20
102,-71.96677404,43.96803748,383.127,20
103,-71.96677413,43.96803744,383.123,20
104,-71.96677421,43.9680374,383.119,20
105,-71.96677428,43.96803736,383.115,20
106,-71.96677435,43.96803732,383.111,20
107,-71.96677442,43.96803728,383.107,20
108,-71.96677449,43.96803724,383.104,20
109,-71.96677455,43.96803721,383.1,20
110,-71.96677461,43.96803718,383.097,20
111,-71.96677466,43.96803715,383.094,20
112,-71.96677471,43.96803712,383.091,20
113,-71.96677476,43.96803709,383.088,20
114,-71.9667748,43.96803707,383.086,20
115,-71.96677484,43.96803705,383.084,20
116,-71.96677488,43.96803704,383.083,20
117,-71.96677491,43.96803702,383.082,20
118,-71.96677494,43.96803701,383.081,20
119,-71.96677496,43.96803699,383.08,20
120,-71.96677499,43.96803698,383.08,20
121,-71.96677501,43.96803697,383.08,20
122,-71.96677503,43.96803696,383.08,20
123,-71.96677505,43.96803695,383.08,20
124,-71.96677506,43.96803694,383.081,20
125,-71.96677508,43.96803693,383.082,20
126,-71.9667751,43.96803691,383.083,20
127,-71.96677512,43.9680369,383.083,20
128,-71.96677514,43.96803688,383.084,20
129,-71.96677516,43.96803686,383.084,20
130,-71.96677519,43.96803685,383.085,20
131,-71.96677522,43.96803683,383.085,20
132,-71.96677525,43.96803682,383.085,20
133,-71.96677528,43.96803681,383.085,20
134,-71.96677532,43.96803679,383.084,20
135,-71.96677535,43.96803678,383.084,20
136,-71.96677538,43.96803677,383.083,20
137,-71.96677542,43.96803676,383.083,20
138,-71.96677545,43.96803675,383.082,20
139,-71.96677549,43.96803674,383.081,20
140,-71.96677552,43.96803674,383.079,20
141,-71.96677555,43.96803673,383.078,20
142,-71.96677559,43.96803672,383.076,20
143,-71.96677562,43.96803671,383.075,20
144,-71.96677565,43.96803671,383.073,20
145,-71.96677568,43.9680367,383.071,20
146,-71.96677571,43.9680367,383.069,20
147,-71.96677574,43.96803669,383.068,20
148,-71.96677577,43.96803668,383.066,20
149,-71.96677579,43.96803668,383.064,20
150,-71.96677581,43.96803667,383.063,20
151,-71.96677584,43.96803666,383.061,20
152,-71.96677586,43.96803666,383.06,20
153,-71.96677588,43.96803665,383.058,20
154,-71.9667759,43.96803664,383.057,20
155,-71.96677592,43.96803663,383.055,20
156,-71.96677594,43.96803662,383.054,20
157,-71.96677596,43.9680366,383.052,20
158,-71.96677598,43.96803659,383.051,20
159,-71.966776,43.96803657,383.049,20
160,-71.96677601,43.96803656,383.047,20
161,-71.96677603,43.96803655,383.045,20
162,-71.96677605,43.96803653,383.044,20
163,-71.96677607,43.96803652,383.042,20
164,-71.96677609,43.96803651,383.04,20
165,-71.9667761,43.96803649,383.039,20
166,-71.96677612,43.96803648,383.037,20
167,-71.96677614,43.96803647,383.035,20
168,-71.96677615,43.96803646,383.033,20
169,-71.96677617,43.96803644,383.031,20
170,-71.96677618,43.96803643,383.03,20
171,-71.96677619,43.96803642,383.028,20
172,-71.9667762,43.96803641,383.026,20
173,-71.96677622,43.96803639,383.024,20
174,-71.96677623,43.96803638,383.022,20
175,-71.96677624,43.96803637,383.021,20
176,-71.96677625,43.96803636,383.019,20
177,-71.96677627,43.96803635,383.017,20
178,-71.96677628,43.96803634,383.016,20
179,-71.96677628,43.96803633,383.014,20
180,-71.96677629,43.96803632,383.013,20
181,-71.9667763,43.96803631,383.012,20
182,-71.96677631,43.96803631,383.011,20
183,-71.96677631,43.9680363,383.01,20
184,-71.96677631,43.9680363,383.009,20
185,-71.96677632,43.9680363,383.008,20
186,-71.96677632,43.96803629,383.008,20
187,-71.96677632,43.96803629,383.007,20
188,-71.96677633,43.96803628,383.007,20
189,-71.96677633,43.96803627,383.007,20
190,-71.96677634,43.96803627,383.006,20
191,-71.96677635,43.96803626,383.006,20
192,-71.96677635,43.96803625,383.005,20
193,-71.96677635,43.96803625,383.005,20
194,-71.96677635,43.96803625,383.005,20
195,-71.96677635,43.96803625,383.005,20
196,-71.96677634,43.96803625,383.006,20
197,-71.96677633,43.96803625,383.006,20
198,-71.96677633,43.96803625,383.007,20
199,-71.96677632,43.96803625,383.008,20
200,-71.96677631,43.96803625,383.009,20
201,-71.96677631,43.96803625,383.01,20
202,-71.9667763,43.96803625,383.011,20
203,-71.9667763,43.96803625,383.012,20
204,-71.96677629,43.96803625,383.014,20
205,-71.96677628,43.96803625,383.016,20
206,-71.96677627,43.96803625,383.017,20
207,-71.96677627,43.96803625,383.019,20
208,-71.96677626,43.96803625,383.021,20
209,-71.96677625,43.96803625,383.023,20
210,-71.96677624,43.96803626,383.025,20
211,-71.96677623,43.96803626,383.028,20
212,-71.96677622,43.96803627,383.03,20
213,-71.96677621,43.96803628,383.033,20
214,-71.9667762,43.96803628,383.036,20
215,-71.96677619,43.96803629,383.039,20
216,-71.96677619,43.96803629,383.042,20
217,-71.96677619,43.9680363,383.044,20
218,-71.96677618,43.9680363,383.047,20
219,-71.96677618,43.96803631,383.05,20
220,-71.96677619,43.96803631,383.052,20
221,-71.96677619,43.96803632,383.055,20
222,-71.96677619,43.96803632,383.058,20
223,-71.9667762,43.96803632,383.06,20
224,-71.9667762,43.96803633,383.062,20
225,-71.96677621,43.96803633,383.064,20
226,-71.96677622,43.96803633,383.066,20
227,-71.96677623,43.96803634,383.069,20
228,-71.96677623,43.96803634,383.071,20
229,-71.96677624,43.96803635,383.073,20
230,-71.96677625,43.96803635,383.074,20
231,-71.96677626,43.96803635,383.076,20
232,-71.96677627,43.96803635,383.078,20
233,-71.96677628,43.96803636,383.08,20
234,-71.96677629,43.96803636,383.081,20
235,-71.9667763,43.96803636,383.083,20
236,-71.96677631,43.96803636,383.084,20
237,-71.96677632,43.96803637,383.086,20
238,-71.96677634,43.96803637,383.087,20
239,-71.96677635,43.96803637,383.089,20
240,-71.96677637,43.96803636,383.09,20
241,-71.96677639,43.96803636,383.091,20
242,-71.96677641,43.96803635,383.092,20
243,-71.96677643,43.96803635,383.093,20
244,-71.96677645,43.96803634,383.093,20
245,-71.96677648,43.96803633,383.093,20
246,-71.9667765,43.96803633,383.093,20
247,-71.96677652,43.96803632,383.093,20
248,-71.96677654,43.96803631,383.093,20
249,-71.96677656,43.9680363,383.092,20
250,-71.96677658,43.9680363,383.092,20
251,-71.9667766,43.96803629,383.091,20
252,-71.96677662,43.96803628,383.091,20
253,-71.96677664,43.96803628,383.09,20
254,-71.96677666,43.96803627,383.09,20
255,-71.96677668,43.96803626,383.089,20
256,-71.96677669,43.96803625,383.089,20
257,-71.96677671,43.96803625,383.088,20
258,-71.96677673,43.96803624,383.088,20
259,-71.96677675,43.96803623,383.087,20
260,-71.96677676,43.96803622,383.087,20
261,-71.96677678,43.96803622,383.086,20
262,-71.9667768,43.96803621,383.086,20
263,-71.96677681,43.9680362,383.085,20
264,-71.96677683,43.96803619,383.084,20
265,-71.96677684,43.96803619,383.084,20
266,-71.96677686,43.96803618,383.084,20
267,-71.96677687,43.96803618,383.083,20
268,-71.96677689,43.96803617,383.083,20
269,-71.9667769,43.96803616,383.083,20
270,-71.96677692,43.96803616,383.083,20
271,-71.96677694,43.96803615,383.083,20
272,-71.96677696,43.96803614,383.082,20
273,-71.96677697,43.96803613,383.082,20
274,-71.96677699,43.96803612,383.082,20
275,-71.96677701,43.96803611,383.082,20
276,-71.96677703,43.9680361,383.082,20
277,-71.96677705,43.9680361,383.082,20
278,-71.96677707,43.96803609,383.082,20
279,-71.96677709,43.96803608,383.082,20
280,-71.9667771,43.96803607,383.082,20
281,-71.96677712,43.96803606,383.083,20
282,-71.96677713,43.96803605,383.083,20
283,-71.96677714,43.96803604,383.083,20
284,-71.96677716,43.96803603,383.084,20
285,-71.96677717,43.96803602,383.085,20
286,-71.96677718,43.96803601,383.085,20
287,-71.96677719,43.968036,383.086,20
288,-71.96677721,43.96803598,383.086,20
289,-71.96677722,43.96803597,383.087,20
290,-71.96677724,43.96803596,383.087,20
291,-71.96677725,43.96803595,383.087,20
292,-71.96677727,43.96803594,383.087,20
293,-71.96677728,43.96803593,383.088,20
294,-71.9667773,43.96803592,383.088,20
295,-71.96677731,43.96803591,383.088,20
296,-71.96677733,43.9680359,383.088,20
297,-71.96677734,43.96803589,383.088,20
298,-71.96677736,43.96803588,383.088,20
299,-71.96677737,43.96803587,383.088,20
300,-71.96677739,43.96803586,383.088,20
301,-71.9667774,43.96803584,383.088,20
302,-71.96677741,43.96803583,383.088,20
303,-71.96677743,43.96803582,383.088,20
304,-71.96677744,43.96803581,383.088,20
305,-71.96677746,43.9680358,383.088,20
306,-71.96677747,43.96803579,383.088,20
307,-71.96677748,43.96803578,383.088,20
308,-71.9667775,43.96803577,383.088,20
309,-71.96677751,43.96803576,383.088,20
310,-71.96677752,43.96803575,383.089,20
311,-71.96677753,43.96803574,383.089,20
312,-71.96677755,43.96803573,383.089,20
313,-71.96677756,43.96803572,383.089,20
314,-71.96677757,43.96803571,383.089,20
315,-71.96677759,43.9680357,383.089,20
316,-71.9667776,43.96803569,383.089,20
317,-71.96677761,43.96803568,383.089,20
318,-71.96677762,43.96803567,383.089,20
319,-71.96677763,43.96803566,383.089,20
320,-71.96677764,43.96803565,383.089,20
321,-71.96677766,43.96803564,383.09,20
322,-71.96677767,43.96803563,383.09,20
323,-71.96677768,43.96803563,383.09,20
324,-71.96677769,43.96803562,383.09,20
325,-71.9667777,43.96803561,383.09,20
326,-71.96677771,43.9680356,383.091,20
327,-71.96677772,43.96803559,383.091,20
328,-71.96677773,43.96803559,383.091,20
329,-71.96677774,43.96803558,383.092,20
330,-71.96677774,43.96803557,383.092,20
331,-71.96677775,43.96803556,383.093,20
332,-71.96677776,43.96803556,383.094,20
333,-71.96677776,43.96803555,383.094,20
334,-71.96677777,43.96803555,383.095,20
335,-71.96677777,43.96803554,383.096,20
336,-71.96677776,43.96803554,383.097,20
