"","lon","lat","ele","site_name"
"1",-71.23356599,43.77429586,248.12,"22"
"2",-71.23356557,43.774296836,248.044,"22"
"3",-71.233564319,43.774298324,247.997,"22"
"4",-71.233563396,43.774299451,247.93,"22"
"5",-71.233565282,43.774298382,247.939,"22"
"6",-71.233566326,43.774297924,247.993,"22"
"7",-71.233566952,43.774297709,248.035,"22"
"8",-71.233567284,43.774297682,248.07,"22"
"9",-71.233567401,43.77429776,248.102,"22"
"10",-71.233567392,43.774297906,248.113,"22"
"11",-71.233567304,43.774298082,248.119,"22"
"12",-71.233566956,43.774298471,248.118,"22"
"13",-71.233566802,43.774298709,248.111,"22"
"14",-71.23356653,43.774298883,248.128,"22"
"15",-71.233566365,43.7742991,248.152,"22"
"16",-71.233566284,43.774299157,248.176,"22"
"17",-71.233565993,43.774299293,248.181,"22"
"18",-71.233565462,43.774299397,248.188,"22"
"19",-71.233565035,43.774299384,248.216,"22"
"20",-71.233564777,43.774299328,248.237,"22"
"21",-71.233564643,43.774299296,248.242,"22"
"22",-71.233564536,43.774299294,248.234,"22"
"23",-71.233564322,43.774299306,248.229,"22"
"24",-71.233564103,43.774299348,248.235,"22"
"25",-71.233563941,43.774299397,248.241,"22"
"26",-71.233563851,43.774299456,248.243,"22"
"27",-71.233563702,43.774299555,248.249,"22"
"28",-71.233563491,43.774299669,248.262,"22"
"29",-71.23356323,43.774299792,248.284,"22"
"30",-71.233562996,43.774299926,248.307,"22"
"31",-71.233562716,43.774300073,248.327,"22"
"32",-71.233562439,43.774300189,248.343,"22"
"33",-71.233562156,43.774300284,248.358,"22"
"34",-71.233561868,43.774300384,248.379,"22"
"35",-71.23356155,43.774300553,248.405,"22"
"36",-71.233561345,43.774300783,248.434,"22"
"37",-71.233561218,43.774301013,248.455,"22"
"38",-71.233561114,43.774301205,248.47,"22"
"39",-71.23356101,43.774301369,248.482,"22"
"40",-71.233560911,43.774301517,248.495,"22"
"41",-71.233560885,43.774301647,248.503,"22"
"42",-71.233560865,43.774301758,248.506,"22"
"43",-71.233560781,43.774301839,248.514,"22"
"44",-71.233560673,43.77430189,248.525,"22"
"45",-71.23356055,43.774301915,248.539,"22"
"46",-71.233560428,43.774301926,248.554,"22"
"47",-71.233560268,43.774301955,248.57,"22"
"48",-71.233560091,43.774301999,248.588,"22"
"49",-71.233559944,43.774302025,248.604,"22"
"50",-71.233559828,43.774302034,248.616,"22"
"51",-71.23355972,43.77430205,248.627,"22"
"52",-71.233559593,43.774302092,248.632,"22"
"53",-71.233559478,43.774302124,248.634,"22"
"54",-71.233559397,43.77430212,248.634,"22"
"55",-71.233559354,43.774302079,248.633,"22"
"56",-71.233559316,43.774302037,248.629,"22"
"57",-71.233559279,43.77430196,248.624,"22"
"58",-71.23355925,43.774301872,248.617,"22"
"59",-71.233559158,43.774301814,248.608,"22"
"60",-71.23355908,43.774301721,248.6,"22"
"61",-71.233559013,43.774301579,248.592,"22"
"62",-71.233558944,43.774301447,248.582,"22"
"63",-71.233558895,43.77430133,248.575,"22"
"64",-71.233558857,43.774301219,248.57,"22"
"65",-71.23355883,43.774301087,248.567,"22"
"66",-71.233558822,43.774300948,248.565,"22"
"67",-71.23355883,43.77430083,248.563,"22"
"68",-71.233558832,43.77430073,248.561,"22"
"69",-71.23355886,43.774300632,248.558,"22"
"70",-71.233558897,43.774300542,248.553,"22"
"71",-71.233558962,43.774300473,248.547,"22"
"72",-71.233558994,43.774300411,248.54,"22"
"73",-71.233558961,43.774300362,248.532,"22"
"74",-71.233558913,43.774300343,248.518,"22"
"75",-71.233558863,43.77430034,248.505,"22"
