,lon,lat,ele,site_name
2,-71.51209406,43.28747883,117.814,14
3,-71.51209387,43.28747994,117.242,14
4,-71.51209394,43.28747856,117.53,14
5,-71.51209411,43.2874779,117.583,14
6,-71.51209491,43.28747727,117.751,14
7,-71.51209534,43.2874771,117.842,14
8,-71.5120953,43.28747815,118.05,14
9,-71.51209514,43.28747915,118.17,14
10,-71.51209471,43.28747938,118.318,14
11,-71.51209388,43.28747891,118.634,14
12,-71.51209365,43.28747858,118.896,14
13,-71.51209363,43.28747836,119.074,14
14,-71.51209323,43.2874781,119.217,14
15,-71.51209316,43.287478,119.371,14
16,-71.51209342,43.287478,119.515,14
17,-71.51209328,43.28747833,119.607,14
18,-71.512093,43.28747879,119.666,14
19,-71.51209169,43.28747954,119.671,14
20,-71.51209132,43.28747969,119.703,14
21,-71.51209148,43.28748003,119.799,14
22,-71.51209069,43.28748119,119.809,14
23,-71.51208995,43.28748229,119.85,14
24,-71.51208902,43.28748285,119.782,14
25,-71.51208751,43.28748311,119.725,14
26,-71.51209005,43.28748371,119.688,14
27,-71.51209159,43.28748458,119.552,14
28,-71.51209273,43.28748435,119.497,14
29,-71.51209288,43.28748408,119.432,14
30,-71.51209398,43.28748459,119.224,14
31,-71.51209513,43.28748528,118.878,14
32,-71.51209598,43.28748586,118.585,14
33,-71.51209565,43.2874862,118.355,14
34,-71.51209516,43.28748642,118.152,14
35,-71.51209435,43.28748654,117.994,14
36,-71.5120942,43.28748687,117.839,14
37,-71.51209369,43.28748713,117.729,14
38,-71.51209302,43.28748708,117.615,14
39,-71.51209262,43.28748735,117.544,14
40,-71.51209141,43.28748733,117.506,14
41,-71.5120878,43.28748639,117.573,14
42,-71.51208595,43.28748561,117.661,14
43,-71.51208488,43.28748495,117.7,14
44,-71.51208385,43.28748449,117.734,14
45,-71.51208255,43.28748393,117.76,14
46,-71.51208191,43.28748378,117.827,14
47,-71.51208103,43.28748361,117.983,14
48,-71.51208098,43.28748264,118.109,14
49,-71.51208065,43.28748213,118.224,14
50,-71.51208029,43.28748195,118.313,14
51,-71.5120798,43.28748215,118.393,14
52,-71.51207949,43.28748236,118.452,14
53,-71.51207919,43.28748244,118.49,14
54,-71.51207986,43.28748213,118.553,14
55,-71.51207996,43.28748224,118.612,14
56,-71.51207952,43.28748253,118.655,14
57,-71.51207911,43.28748268,118.658,14
58,-71.51207883,43.28748259,118.677,14
59,-71.51207866,43.2874825,118.702,14
60,-71.51207869,43.28748236,118.728,14
61,-71.51207872,43.28748222,118.754,14
62,-71.51207964,43.28748138,118.882,14
63,-71.51207985,43.28748116,118.921,14
64,-71.51208011,43.28748094,118.967,14
65,-71.51208028,43.28748078,119.006,14
66,-71.51208046,43.28748064,119.046,14
67,-71.51208068,43.28748049,119.091,14
68,-71.51208124,43.28748016,119.163,14
69,-71.51208181,43.28747977,119.247,14
70,-71.5120823,43.28747944,119.337,14
71,-71.51208273,43.28747917,119.431,14
72,-71.51208325,43.28747883,119.538,14
73,-71.51208388,43.28747855,119.641,14
74,-71.51208445,43.28747844,119.716,14
75,-71.51208498,43.28747836,119.779,14
76,-71.51208535,43.28747838,119.824,14
77,-71.51208561,43.28747846,119.861,14
78,-71.51208589,43.28747855,119.893,14
79,-71.51208619,43.28747864,119.92,14
80,-71.51208647,43.28747873,119.942,14
81,-71.51208674,43.28747884,119.961,14
82,-71.51208694,43.28747896,119.976,14
83,-71.51208699,43.28747908,119.985,14
84,-71.51208697,43.28747921,119.988,14
85,-71.51208691,43.28747934,119.986,14
86,-71.51208686,43.28747946,119.981,14
87,-71.51208683,43.28747958,119.975,14
88,-71.51208684,43.28747968,119.97,14
89,-71.51208685,43.28747979,119.966,14
90,-71.51208685,43.28747989,119.962,14
91,-71.51208683,43.28748001,119.958,14
92,-71.51208679,43.28748013,119.952,14
93,-71.51208675,43.28748024,119.946,14
94,-71.51208671,43.28748035,119.941,14
95,-71.51208666,43.28748043,119.938,14
96,-71.5120866,43.2874805,119.937,14
97,-71.51208654,43.28748056,119.937,14
98,-71.51208649,43.28748061,119.938,14
99,-71.51208643,43.28748066,119.941,14
100,-71.51208638,43.2874807,119.944,14
101,-71.51208633,43.28748074,119.948,14
102,-71.51208628,43.28748078,119.953,14
103,-71.51208625,43.2874808,119.959,14
104,-71.51208622,43.28748082,119.967,14
105,-71.51208618,43.28748083,119.975,14
106,-71.51208612,43.28748085,119.982,14
107,-71.51208605,43.28748088,119.987,14
108,-71.51208597,43.28748091,119.992,14
109,-71.51208588,43.28748094,119.997,14
110,-71.51208579,43.28748097,120.001,14
111,-71.51208572,43.287481,120.005,14
112,-71.51208569,43.28748101,120.011,14
113,-71.51208569,43.28748101,120.018,14
114,-71.51208569,43.28748099,120.027,14
115,-71.5120857,43.28748099,120.036,14
116,-71.5120857,43.28748099,120.044,14
