,lon,lat,ele,site_name
2,-71.39395795,43.73755556,127.738,23
3,-71.3939595,43.73755499,127.807,23
4,-71.39395849,43.73755302,127.788,23
5,-71.39395472,43.73755353,127.491,23
6,-71.39395774,43.73755244,127.599,23
7,-71.39395271,43.73755491,127.639,23
8,-71.39395117,43.7375551,127.528,23
9,-71.39395259,43.73755446,127.577,23
10,-71.39395328,43.73755423,127.644,23
11,-71.3939532,43.7375541,127.672,23
12,-71.39395317,43.73755401,127.674,23
13,-71.39395321,43.737554,127.649,23
14,-71.39395353,43.73755403,127.641,23
15,-71.39395393,43.73755414,127.621,23
16,-71.39395419,43.73755427,127.598,23
17,-71.39395422,43.73755438,127.577,23
18,-71.39395434,43.73755436,127.578,23
19,-71.39395444,43.73755444,127.572,23
20,-71.3939545,43.73755455,127.556,23
21,-71.39395457,43.73755461,127.55,23
22,-71.39395473,43.73755464,127.573,23
23,-71.39395476,43.73755468,127.594,23
24,-71.39395485,43.73755468,127.619,23
25,-71.3939549,43.73755468,127.639,23
26,-71.39395499,43.73755465,127.661,23
27,-71.39395512,43.73755457,127.69,23
28,-71.39395523,43.73755448,127.722,23
29,-71.39395523,43.73755445,127.746,23
30,-71.39395519,43.73755446,127.76,23
31,-71.39395512,43.73755448,127.769,23
32,-71.39395508,43.73755451,127.776,23
33,-71.39395509,43.73755455,127.79,23
34,-71.39395506,43.73755459,127.802,23
35,-71.39395498,43.73755465,127.806,23
36,-71.39395493,43.73755467,127.815,23
37,-71.39395487,43.73755469,127.827,23
38,-71.39395483,43.73755471,127.84,23
39,-71.39395479,43.73755475,127.849,23
40,-71.39395475,43.73755476,127.861,23
41,-71.3939547,43.73755483,127.869,23
42,-71.39395466,43.73755491,127.874,23
43,-71.39395461,43.73755498,127.878,23
44,-71.39395456,43.73755503,127.878,23
45,-71.39395452,43.73755509,127.876,23
46,-71.39395451,43.73755516,127.876,23
47,-71.39395452,43.73755523,127.877,23
48,-71.39395455,43.73755531,127.878,23
49,-71.39395458,43.73755541,127.881,23
50,-71.39395456,43.73755543,127.888,23
51,-71.39395454,43.73755544,127.896,23
52,-71.39395454,43.73755545,127.905,23
53,-71.39395454,43.73755546,127.915,23
54,-71.39395455,43.73755547,127.924,23
55,-71.39395457,43.73755547,127.933,23
56,-71.39395458,43.73755547,127.943,23
57,-71.39395458,43.73755547,127.951,23
58,-71.39395457,43.73755548,127.959,23
59,-71.39395456,43.73755548,127.968,23
60,-71.39395453,43.73755549,127.976,23
61,-71.39395452,43.7375555,127.983,23
62,-71.39395452,43.73755552,127.987,23
63,-71.39395452,43.73755553,127.994,23
64,-71.39395453,43.73755554,128,23
65,-71.39395451,43.73755555,128.003,23
66,-71.3939545,43.73755557,128.006,23
67,-71.39395453,43.73755557,128.012,23
68,-71.39395458,43.73755554,128.023,23
69,-71.39395459,43.73755555,128.031,23
70,-71.3939546,43.73755556,128.035,23
71,-71.39395461,43.73755558,128.034,23
72,-71.39395459,43.73755561,128.03,23
73,-71.39395459,43.73755564,128.025,23
74,-71.39395459,43.73755568,128.02,23
75,-71.39395458,43.73755572,128.014,23
76,-71.39395457,43.73755575,128.01,23
77,-71.39395457,43.73755579,128.006,23
78,-71.39395456,43.73755581,128.002,23
79,-71.39395454,43.73755584,127.999,23
80,-71.39395454,43.73755586,127.994,23
81,-71.39395453,43.73755588,127.989,23
82,-71.39395452,43.7375559,127.983,23
83,-71.39395452,43.73755592,127.977,23
84,-71.39395452,43.73755594,127.971,23
85,-71.3939545,43.73755596,127.965,23
