"","lon","lat","ele","site_name"
"1",-71.185943518,42.919951668,35.443,"8"
"2",-71.185941263,42.919954123,35.618,"8"
"3",-71.185943426,42.919955836,36.289,"8"
"4",-71.185943135,42.919956801,36.393,"8"
"5",-71.185943529,42.919957581,36.331,"8"
"6",-71.185944669,42.919958287,35.948,"8"
"7",-71.18594399,42.919958353,35.935,"8"
"8",-71.18594365,42.9199584,36.041,"8"
"9",-71.185943598,42.919958356,36.134,"8"
"10",-71.18594387,42.919958484,36.232,"8"
"11",-71.185944444,42.919958734,36.391,"8"
"12",-71.185944639,42.919958847,36.507,"8"
"13",-71.185944848,42.91995893,36.618,"8"
"14",-71.185944744,42.919958777,36.708,"8"
"15",-71.185944608,42.919958654,36.758,"8"
"16",-71.185944905,42.919958739,36.759,"8"
"17",-71.18594501,42.919958706,36.813,"8"
"18",-71.185945109,42.919958615,36.891,"8"
"19",-71.185944947,42.919958331,36.985,"8"
"20",-71.185944828,42.91995796,37.067,"8"
"21",-71.185944768,42.919957555,37.126,"8"
"22",-71.185944702,42.919957145,37.156,"8"
"23",-71.185944884,42.919956956,37.192,"8"
"24",-71.185945139,42.919956928,37.249,"8"
"25",-71.185945383,42.919956904,37.289,"8"
"26",-71.185945628,42.919956972,37.32,"8"
"27",-71.18594595,42.919957076,37.365,"8"
"28",-71.185946165,42.919957111,37.425,"8"
"29",-71.185946309,42.919957164,37.48,"8"
"30",-71.185946434,42.919957229,37.527,"8"
"31",-71.185946494,42.919957222,37.556,"8"
"32",-71.18594646,42.919957127,37.556,"8"
"33",-71.185946476,42.919956957,37.557,"8"
"34",-71.185946376,42.919956716,37.568,"8"
"35",-71.185946238,42.919956512,37.58,"8"
"36",-71.185946145,42.919956372,37.577,"8"
"37",-71.185946127,42.919956305,37.569,"8"
"38",-71.185946076,42.919956209,37.558,"8"
"39",-71.185946001,42.919956177,37.55,"8"
"40",-71.185945912,42.919956139,37.548,"8"
"41",-71.185945846,42.919956109,37.552,"8"
"42",-71.185945769,42.919956134,37.557,"8"
"43",-71.185945678,42.919956141,37.561,"8"
"44",-71.185945617,42.919956024,37.559,"8"
"45",-71.185945547,42.919955949,37.555,"8"
"46",-71.185945427,42.919955856,37.553,"8"
"47",-71.185945298,42.919955762,37.546,"8"
"48",-71.185945167,42.919955715,37.542,"8"
"49",-71.185945073,42.919955692,37.536,"8"
"50",-71.185945015,42.919955693,37.533,"8"
"51",-71.185944941,42.919955685,37.532,"8"
"52",-71.185944834,42.919955624,37.527,"8"
"53",-71.185944761,42.919955512,37.518,"8"
"54",-71.185944689,42.919955409,37.52,"8"
"55",-71.185944593,42.919955272,37.527,"8"
"56",-71.185944478,42.919955141,37.532,"8"
"57",-71.185944364,42.919955029,37.534,"8"
"58",-71.185944234,42.919954917,37.53,"8"
"59",-71.185944127,42.919954825,37.523,"8"
"60",-71.185944029,42.919954733,37.517,"8"
"61",-71.185943945,42.919954638,37.509,"8"
"62",-71.18594387,42.919954548,37.504,"8"
"63",-71.185943802,42.919954455,37.499,"8"
"64",-71.185943728,42.919954359,37.493,"8"
"65",-71.185943657,42.919954266,37.488,"8"
"66",-71.185943597,42.919954198,37.485,"8"
"67",-71.185943543,42.919954154,37.484,"8"
"68",-71.185943479,42.919954116,37.482,"8"
"69",-71.185943418,42.919954099,37.479,"8"
"70",-71.185943388,42.919954063,37.48,"8"
"71",-71.185943315,42.919954052,37.482,"8"
"72",-71.185943193,42.919954049,37.478,"8"
"73",-71.185943073,42.91995405,37.469,"8"
"74",-71.185942962,42.919954052,37.461,"8"
"75",-71.185942861,42.919954058,37.453,"8"
"76",-71.185942757,42.919954053,37.445,"8"
"77",-71.18594276,42.919953957,37.444,"8"
"78",-71.185942825,42.919953833,37.449,"8"
"79",-71.185942842,42.919953774,37.447,"8"
"80",-71.185942809,42.919953754,37.438,"8"
"81",-71.185942831,42.919953725,37.433,"8"
"82",-71.185942871,42.919953686,37.433,"8"
"83",-71.185942922,42.919953683,37.433,"8"
"84",-71.185942948,42.919953673,37.438,"8"
"85",-71.185942959,42.919953577,37.449,"8"
"86",-71.185942982,42.919953519,37.457,"8"
"87",-71.185943004,42.919953495,37.46,"8"
"88",-71.185943029,42.919953454,37.462,"8"
"89",-71.185943038,42.919953448,37.46,"8"
"90",-71.185943028,42.919953468,37.45,"8"
"91",-71.185943011,42.919953459,37.439,"8"
"92",-71.185942949,42.919953466,37.432,"8"
"93",-71.185942883,42.919953479,37.426,"8"
"94",-71.185942808,42.91995347,37.416,"8"
"95",-71.185942731,42.919953463,37.404,"8"
"96",-71.185942639,42.919953446,37.389,"8"
"97",-71.185942576,42.919953417,37.378,"8"
"98",-71.185942512,42.919953411,37.371,"8"
"99",-71.185942463,42.919953418,37.368,"8"
"100",-71.185942378,42.919953401,37.361,"8"
"101",-71.185942308,42.919953397,37.354,"8"
"102",-71.185942331,42.91995342,37.357,"8"
"103",-71.185942381,42.919953445,37.367,"8"
"104",-71.185942437,42.919953465,37.381,"8"
"105",-71.185942435,42.91995346,37.389,"8"
"106",-71.185942448,42.919953465,37.396,"8"
"107",-71.185942452,42.919953495,37.406,"8"
"108",-71.185942443,42.919953487,37.414,"8"
"109",-71.185942423,42.919953461,37.42,"8"
"110",-71.18594241,42.919953449,37.425,"8"
"111",-71.185942392,42.919953453,37.431,"8"
"112",-71.185942373,42.919953486,37.437,"8"
"113",-71.18594238,42.919953509,37.447,"8"
"114",-71.185942372,42.919953539,37.458,"8"
"115",-71.185942347,42.919953529,37.465,"8"
